Name,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,CR,Additional,Font,Additional Info,Author
Intellect Devourer,Tiny,Aberration,LE,12,21,40,6,14,13,12,11,10,None,"Perception, Stealth","Nonmagicalres, blindedimmu",Blindsight 60,"Deep Speech, telepathy 60",2.00,Detect Sentience,Monster Manual,,Wizards of the Coast
Invisible Stalker,Medium,Elemental,N,14,104,"50, fly 50",16,19,14,10,15,11,None,"Perception, Stealth","Nonmagicalres, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconscious",Darkvision 60,"Auran, Common",6.00,"Invisibility, Faultless Tracker",Monster Manual,,Wizards of the Coast
Ixitxachitl,Small,Aberration,CE,15,18,swim 30,12,16,13,12,13,7,None,None,None,Darkvision 60,"Abyssal, Own",0.25,None,Out of the Abyss,,Wizards of the Coast
"Ixitxachitl, Vampiric",Medium,Aberration,CE,16,44,swim 30,14,18,13,12,13,7,None,None,None,Darkvision 60,"Abyssal, Own",2.00,Regeneration,Out of the Abyss,,Wizards of the Coast
Jackalwere,Medium,Humanoid,CE,12,18,40,11,15,11,13,11,10,None,"Deception, Perception, Stealth","Nonmagicalimmu, nonsilveredimmu",Normal,Common,0.50,"Shapechanger, Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
Jaculi,Large,Beast,U,14,16,"30, climb 20",15,14,11,2,8,3,None,"Athletics, Perception, Stealth",None,Blindsight 30,None,0.50,"Camouflage, Keen Smell",Tomb of Annihilation,,Wizards of the Coast
Kalka-Kylla,Large,Monstrosity,N,15,85,"30, swim 30",17,12,16,15,16,12,None,"Deception, Insight, Stealth",None,Blindsight 30,Olman,3.00,"Amphibious, False Appearance, Shell",Tales from the Yawning Portal,,Wizards of the Coast
Kamadan,Large,Monstrosity,U,13,67,30,16,16,14,3,14,10,None,"Perception, Stealth",None,Normal,None,4.00,"Keen Smell, Pounce",Tomb of Annihilation,,Wizards of the Coast
Kelpie,Medium,Plant,NE,14,67,"10, swim 30",14,14,16,7,12,10,None,"Perception, Stealth","Bludgeoningres, fireres, piercingres, blindedimmu, deafenedimmu, exhaustionimmu",Blindsight 60,"Common, Sylvan",4.00,"Amphibious, Seaweed Shape, False Appearance",Tales from the Yawning Portal,,Wizards of the Coast
Kenku,Medium,Humanoid,CN,13,13,30,10,16,10,11,10,10,None,"Deception, Perception, Stealth",None,Normal,"Auran, Common",0.25,"Ambusher, Mimicry",Monster Manual,,Wizards of the Coast
Ki-Rin,Huge,Celestial,LG,20,152,"60, fly 120",21,16,16,19,20,20,None,"Perception, Insight, Religion","Poisonimmu, poisonedimmu","Blindsight 30, darkvision 120","All, telepathy 120",12.00,"Innate Spellcasting, Legendary Resistance, lair, Magic Resistance, Magic Weapons, Normal Spellcasting",Volo's Guide to Monsters,,Wizards of the Coast
Kobold,Small,Humanoid,LE,12,5,30,7,15,9,8,7,8,None,None,None,Darkvision 60,"Common, Draconic",0.13,"Sunlight Sensitivity, Pack Tactics",Monster Manual,,Wizards of the Coast
Kobold Dragonshield,Small,Humanoid (Kobold),LE,15,44,20,12,15,14,8,9,10,None,Perception,"Acidres, coldres, fireres, lightningres, poisonres",Darkvision 60,"Common, Draconic",1.00,"Dragon's Resistance, Heart of the Dragon, Pack Tactics, Sunlight Sensitivity",Volo's Guide to Monsters,,Wizards of the Coast
Kobold Inventor,Small,Humanoid (Kobold),LE,12,13,30,7,15,12,8,7,8,None,Perception,None,Darkvision 60,"Common, Draconic",0.25,"Pack Tactics, Sunlight Sensitivity",Volo's Guide to Monsters,,Wizards of the Coast
Kobold Scale Sorcerer,Small,Humanoid (Kobold),LE,15,27,30,7,15,14,10,9,14,None,"Arcana, Medicine",None,Darkvision 60,"COmmon, Draconic",1.00,"Normal Spellcasting, Sorcery Points, Pack Tactics, Sunlight Sensitivity",Volo's Guide to Monsters,,Wizards of the Coast
"Kobold, Winged",Small,Humanoid,LE,13,7,"30, fly 30",7,16,9,8,7,8,None,None,None,Darkvision 60,"Common, Draconic",0.25,"Sunlight Sensitivity, Pack Tactics",Monster Manual,,Wizards of the Coast
Korred,Small,Fey,CN,17,102,"30, burrow 30",23,14,20,10,15,9,None,"Athletics, Perception, Stealth",Nonmagicalres,"Darkvision 120, tremorsense 120","Dwarvish, Gnomish, Sylvan, Terran, Undercommon",7.00,"Command Hair, Innate Spellcasting, Stone Camouflage, Stone's Strength",Volo's Guide to Monsters,,Wizards of the Coast
Kraken,Gargantuan,Monstrosity,CE,18,472,"20, swim 60",30,11,25,22,18,20,"STR, DEX, CON, INT, WIS",None,"Lightningimmu, nonmagicalimmu, frightenedimmu, paralyzedimmu",Truesight 120,"Abyssal, Celestial, Infernal, Primordial, telepathy 120",23.00,"Amphibious, Freedom of Movement, Siege Monster, Lair, Legendary",Monster Manual,,Wizards of the Coast
"Kraken, Malformed",Huge,Monstrosity,CE,17,172,"20, swim 40",25,11,20,11,15,15,"STR, CON, INT, WIS, CHA",None,"Nonmagicalres, lightningimmu, frightenedimmu, paralyzedimmu",Truesight 60,"Common, telepathy 60",10.00,"Amphibious, Siege Monster",Tales from the Yawning Portal,,Wizards of the Coast
Kruthik Hive Lord,Large,Monstrosity,U,20,102,"40, burrow 20, climb 40",19,16,17,10,14,10,None,None,None,"Darkvision 60, tremorsense 60",Own,5.00,"Keen Smell, Pack Tactics, Tunneler",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Kruthik, Adult",Medium,Monstrosity,U,18,39,"40, burrow 20, climb 40",15,16,15,7,12,8,None,None,None,"Darkvision 60, tremorsense 60",Own,2.00,"Keen Smell, Pack Tactics, Tunneler",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Kruthik, Young",Small,Monstrosity,U,16,9,"30, burrow 10, climb 30",13,16,13,4,10,6,None,None,None,"Darkvision 30, tremorsense 60",Own,0.13,"Keen Smell, Pack Tactics, Tunneler",Mordenkainen's Tome of Foes,,Wizards of the Coast
Kuo-Toa,Medium,Humanoid,NE,13,13,"30, swim 30",13,10,11,11,10,8,None,Perception,None,Darkvision 120,Undercommon,0.25,"Amphibious, Otherworldly Perception, Slippery, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
Kuo-Toa Archpriest,Medium,Humanoid,NE,13,97,"30, swim 30",16,14,16,13,16,14,None,"Perception, Religion",None,Darkvision 120,Undercommon,6.00,"Amphibious, Otherworldly Perception, Slippery, Sunlight Sensitivity, Normal Spellcasting",Monster Manual,,Wizards of the Coast
Kuo-Toa Whip,Medium,Humanoid,NE,11,65,"30, swim 30",14,10,14,12,14,11,None,"Perception, Religion",None,Darkvision 120,Undercommon,1.00,"Amphibious, Otherworldly Perception, Slippery, Sunlight Sensitivity, Normal Spellcasting",Monster Manual,,Wizards of the Coast
Lamia,Large,Monstrosity,CE,13,97,30,16,13,15,14,15,16,None,"Deception, Insight, Stealth",None,Darkvision 60,"Abyssal, Common",4.00,Innate Spellcasting,Monster Manual,,Wizards of the Coast
Leucrotta,Large,Monstrosity,CE,14,67,50,18,14,15,9,12,6,None,"Deception, Perception",None,Darkvision 60,"Abyssal, Gnoll",3.00,"Keen Smell, Kicking Retreat, Mimicry, Rampage",Volo's Guide to Monsters,,Wizards of the Coast
Lich,Medium,Undead,ANY EVIL,17,135,30,11,16,16,20,14,16,"CON, INT, WIS","Arcana, History, Insight, Perception","Coldres, lightningres, necroticres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Truesight 120,"Common, Any",21.00,"Legendary, Rejuvenation, Normal Spellcasting, Turn Resistance, Lair",Monster Manual,,Wizards of the Coast
Lizard King/Queen,Medium,Humanoid,CE,15,78,"30, swim 30",17,12,15,11,11,15,"CON, WIS","Perception, Stealth, Survival",Frightenedimmu,Darkvision 60,"Abyssal, Draconic",4.00,"Hold Breath, Skewer",Monster Manual,,Wizards of the Coast
Lizardfolk,Medium,Humanoid,N,15,22,"30, swim 30",15,10,13,7,12,7,None,"Perception, Stealth, Survival",None,Normal,Draconic,0.50,Hold Breath,Monster Manual,,Wizards of the Coast
Lizardfolk Shaman,Medium,Humanoid,N,13,27,"30, swim 30",15,10,13,10,15,8,None,"Perception, Stealth, Survival",None,Normal,Draconic,2.00,"Hold Breath, Normal Spellcasting",Monster Manual,,Wizards of the Coast
"Lycanthrope, Werebear",Medium,Humanoid,NG,11,135,"40, climb 30",19,10,17,11,12,12,None,Perception,"Nonmagicalimmu, nonsilveredimmu",Normal,Common,5.00,"Shapechanger, Keen Smell",Monster Manual,,Wizards of the Coast
"Lycanthrope, Wereboar",Medium,Humanoid,NE,11,78,40,17,10,15,10,11,8,None,Perception,"Nonmagicalimmu, nonsilveredimmu",Normal,Common,4.00,"Shapechanger, Charge, Relentless",Monster Manual,,Wizards of the Coast
"Lycanthrope, Wererat",Medium,Humanoid,LE,12,33,30,10,15,12,11,10,8,None,"Perception, Stealth","Nonmagicalimmu, nonsilveredimmu",Darkvision 60,Common,2.00,"Shapechanger, Keen Smell",Monster Manual,,Wizards of the Coast
"Lycanthrope, Wereraven",Medium,"Humanoid (Human)
Humanoid (Shapechanger)",LG,12,31,30,10,15,11,13,15,14,None,"Insight, Perception","Nonmagicalimmu, nonsilveredimmu",Normal,Common,2.00,"Shapechanger, Mimicry",Curse of Strahd,,Wizards of the Coast
"Lycanthrope, Weretiger",Medium,Humanoid,N,12,120,40,17,15,16,10,13,11,None,"Perception, Stealth","Nonmagicalimmu, nonsilveredimmu",Darkvision 60,Common,4.00,"Shapechanger, Keen Hearing, Keen Smell, Pounce",Monster Manual,,Wizards of the Coast
"Lycanthrope, Werewolf",Medium,Humanoid,CE,12,58,40,15,13,14,10,11,10,None,"Perception, Stealth","Nonmagicalimmu, nonsilveredimmu",Normal,Common,3.00,"Shapechanger, Keen Hearing, Keen Smell",Monster Manual,,Wizards of the Coast
Magmin,Small,Elemental,CN,14,9,30,7,15,12,8,11,10,None,None,"Nonmagicalres, fireimmu",Darkvision 60,Ignan,0.50,"Death Burst, Ignited Illumination",Monster Manual,,Wizards of the Coast
Manticore,Large,Monstrosity,LE,14,68,"30, fly 50",17,16,17,7,12,8,None,None,None,Darkvision 60,Common,3.00,Tail Spike Regrowth,Monster Manual,,Wizards of the Coast
Mantrap,Large,Plant,U,12,45,5,15,14,12,1,10,2,None,None,"Blindedimmu, deafenedimmu, exhaustionimmu, proneimmu",Tremorsense 30,None,1.00,"Attractive Pollen, False Appearance",Tomb of Annihilation,,Wizards of the Coast
Meazel,Medium,Humanoid (Meazel),NE,13,35,30,8,17,9,14,13,10,None,"Perception, Stealth",None,Darkvision 120,Common,1.00,Shadow Stealth,Mordenkainen's Tome of Foes,,Wizards of the Coast
Medusa,Medium,Monstrosity,LE,15,127,30,10,15,16,12,13,15,None,"Deception, Insight, Perception, Stealth",None,Darkvision 60,Common,6.00,Petrifying Gaze,Monster Manual,,Wizards of the Coast
Meenlock,Small,Fey,NE,15,31,30,7,15,12,11,10,8,None,"Perception, Stealth, Survival",Frightenedimmu,Darkvision 120,Telepathy 120,2.00,"Fear Aura, Light Sensitivity, Shadow Teleport",Volo's Guide to Monsters,,Wizards of the Coast
"Mephit, Dust",Small,Elemental,NE,12,17,"30, fly 30",5,14,10,9,11,10,None,"Perception, Stealth","Fireweak, poisonimmu, poisonedimmu",Darkvision 60,"Auran, Terran",0.50,"Death Burst, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Mephit, Ice",Small,Elemental,NE,11,21,"30, fly 30",7,13,10,9,11,12,None,"Perception, Stealth","Bludgeoningweak, fireweak, coldimmu, poisonimmu, poisonedimmu",Darkvision 60,"Aquan, Auran",0.50,"Death Burst, False Appearance, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Mephit, Magma",Small,Elemental,NE,11,22,"30, fly 30",8,12,12,7,10,10,None,Stealth,"Coldweak, fireimmu, poisonimmu",Darkvision 60,"Ignan, Terran",0.50,"Death Burst, False Appearance, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Mephit, Mud",Small,Elemental,NE,11,27,"20, fly 20, swim 20",8,12,12,9,11,7,None,Stealth,"Poisonimmu, poisonedimmu",Darkivision 60,"Aquan, Terran",0.25,"Death Burst, False Appearance",Monster Manual,,Wizards of the Coast
"Mephit, Smoke",Small,Elemental,NE,12,22,"30, fly 30",6,14,12,10,10,11,None,"Perception, Stealth","Fireimmu, poisonimmu, poisonedimmu",Darkvision 60,"Auran, Ignan",0.25,"Death Burst, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Mephit, Steam",Small,Elemental,NE,10,21,"30, fly 30",5,11,10,11,10,12,None,None,"Fireimmu, poisonimmu, poisonedimmu",Darkvision 60,"Aquan, Ignan",0.25,"Death Burst, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Merfolk,Medium,Humanoid,N,11,11,"10, swim 40",10,13,12,11,11,12,None,Perception,None,Normal,"Aquan, Common",0.13,Amphibious,Monster Manual,,Wizards of the Coast
Merrow,Large,Monstrosity,CE,13,45,"10, swim 40",18,10,15,8,10,9,None,"Death Burst, Innate Spellcasting",None,Darkvision 60,"Abyssal, Aquan",2.00,Amphibious,Monster Manual,,Wizards of the Coast
Mimic,Medium,Monstrosity,N,12,58,15,17,12,15,5,13,8,None,Stealth,"Acidimmu, proneimmu",Darkvision 60,None,2.00,"Shapechanger, Adhesive, False Appearance, Grappler",Monster Manual,,Wizards of the Coast
Mind Flayer,Medium,Aberration,LE,15,71,30,11,12,12,19,17,17,"INT, WIS, CHA","Arcana, Deception, Insight, Perception, Persuasion, Stealth",None,"Darkvision 120,","Deep Speech, Undercommon, telepathy 120",7.00,"Magic Resistance, Innate Spellcasting (Psionics)",Monster Manual,,Wizards of the Coast
Mind Flayer Lich (Illithilich),Medium,Undead,ANY EVIL,17,135,30,11,16,16,20,14,16,"CON, INT, WIS","Arcana, History, Insight, Perception","Coldres, lightningres, necroticres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyezdimmu, poisonedimmu",Truesight 120,"Common, Any, Deep Speech, Undercommon, telepathy 120",22.00,"Legendary Resistance, Rejuvenation, Lair, Normal Spellcasting, Turn Resistance, Magic Resistance, Innate Spellcasting (Psionics)",Volo's Guide to Monsters,,Wizards of the Coast
"Mind Flayer, Alhoon",Medium,Undead,ANY EVIL,15,120,30,11,12,16,19,17,17,"CON, INT, WIS, CHA","Arcana, Deception, History, Insight, Perception, Stealth","Coldres, lightningres, necroticres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyezdimmu, poisonedimmu",Truesight 120,"Deep Speech, Undercommon, telepathy 120",10.00,"Magic Resistance, Innate Spellcasting (Psionics), Normal Spellcasting, Turn Resistance",Volo's Guide to Monsters,,Wizards of the Coast
"Mind Flayer, Elder Brain",Large,Aberration,LE,10,210,"5, swim 10",15,10,20,21,19,24,"INT, WIS, CHA","Arcana, Deception, Insight, Intimidation, Persuasion",None,Blindsight 120,"Common, Deep SPeech, Undercommon, telepathy 5 miles",14.00,"Creature Sense, Innate Spellcasting (Psionics), Lair, Legendary Resistance, magic Resistance, Telepathic Hub",Volo's Guide to Monsters,,Wizards of the Coast
"Mind Flayer, Ulitharid",Large,Aberration,LE,15,127,30,15,12,15,21,19,21,"INT, WIS, CHA","Arcana, Insight, Perception, Stealth",None,Darkvision 120,"Deep Speech, Undercommon, telepathy 2 miles",9.00,"Creature Sense, Magic Resistance, Psionic Hub, Innate SPellcasting (Psionics)",Volo's Guide to Monsters,,Wizards of the Coast
Mindwitness,Large,Aberration,LE,15,75,fly 20,10,14,14,15,15,10,"INT, WIS",Perception,Proneimmu,Darkvision 120,"Deep Speech, Undercommon, telepathy 600",5.00,Telepathic Hub,Volo's Guide to Monsters,,Wizards of the Coast
Minotaur,Large,Monstrosity,CE,14,76,40,18,11,16,6,16,9,None,Perception,None,Darkvision 60,Abyssal,3.00,"Charge, Labyrinthine Recall, Reckless",Monster Manual,,Wizards of the Coast
"Misc. Creature, Ape",Medium,Beast,U,12,19,"30, climb 30",16,14,14,6,12,7,None,"Athletics, Perception",None,Normal,None,0.50,None,Monster Manual,,Wizards of the Coast
"Misc. Creature, Awakened Shrub",Small,Plant,U,9,10,20,3,8,11,10,10,6,None,None,"Fireweak, piercingres",Normal,Creator,0.00,False Appearance,Monster Manual,,Wizards of the Coast
"Misc. Creature, Awakened Tree",Huge,Plant,U,13,59,20,19,6,15,10,10,7,None,None,"Fireweak, bludgeoningres, piercingres",Normal,Creator,2.00,False Appearance,Monster Manual,,Wizards of the Coast
"Misc. Creature, Axe Beak",Large,Beast,U,11,19,50,14,12,12,2,10,5,None,None,None,Normal,None,0.25,None,Monster Manual,,Wizards of the Coast
"Misc. Creature, Baboon",Small,Beast,U,12,3,"30, climb 30",8,14,11,4,12,6,None,None,None,Normal,None,0.00,Pack Tactics,Monster Manual,,Wizards of the Coast
"Misc. Creature, Badger",Tiny,Beast,U,10,3,"20, burrow 5",4,11,12,2,12,5,None,None,None,Darkvision 30,None,0.00,Keen Smell,Monster Manual,,Wizards of the Coast
"Misc. Creature, Bat",Tiny,Beast,U,12,1,"5, fly 30",2,15,8,2,12,4,None,None,None,Blindsight 60,None,0.00,"Echolocation, Keen Hearing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Black Bear",Medium,Beast,U,11,19,"40, climb 30",15,10,14,2,12,7,None,Perception,None,Normal,None,0.50,Keen Smell,Monster Manual,,Wizards of the Coast
"Misc. Creature, Blink Dog",Medium,Fey,LG,13,22,40,12,17,12,10,13,11,None,"Perception, Stealth",None,Normal,"Own, Sylvan",0.25,"Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
"Misc. Creature, Blood Hawk",Small,Beast,U,12,7,"10, fly 60",6,14,10,3,14,5,None,Perception,None,Normal,None,0.13,"Keen Sight, Pack Tactics",Monster Manual,,Wizards of the Coast
"Misc. Creature, Boar",Medium,Beast,U,11,11,40,13,11,12,2,9,5,None,None,None,Normal,None,0.25,"Charge, Relentless",Monster Manual,,Wizards of the Coast
"Misc. Creature, Brown Bear",Large,Beast,U,11,34,"40, climb 30",19,10,16,2,13,7,None,Perception,None,Normal,None,1.00,Keen Smell,Monster Manual,,Wizards of the Coast
"Misc. Creature, Camel",Large,Beast,U,9,15,50,16,8,14,2,8,5,None,None,None,Normal,None,0.13,None,Monster Manual,,Wizards of the Coast
"Misc. Creature, Cat",Tiny,Beast,U,12,2,"40, climb 30",3,15,10,3,12,7,None,"Perception, Stealth",None,Normal,None,0.00,Keen Smell,Monster Manual,,Wizards of the Coast
"Misc. Creature, Constrictor Snake",large,Beast,U,12,13,"30, swim 30",15,14,12,1,10,3,None,None,None,Blindsight 10,None,0.25,None,Monster Manual,,Wizards of the Coast
"Misc. Creature, Crab",Tiny,Beast,U,11,2,"20, swim 20",2,11,10,1,8,2,None,Stealth,None,Blindsight 30,None,0.00,Amphibious,Monster Manual,,Wizards of the Coast
"Misc. Creature, Crocodile",Large,Beast,U,12,19,"20, swim 30",15,10,13,2,10,5,None,Stealth,None,Normal,None,0.50,Hold Breath,Monster Manual,,Wizards of the Coast
"Misc. Creature, Death Dog",Medium,Monstrosity,NE,12,39,40,15,14,14,3,13,6,None,"Perception, Stealth",None,Darkvision 120,None,1.00,Two-Headed,Monster Manual,,Wizards of the Coast
"Misc. Creature, Deer",Medium,Beast,U,13,4,50,11,16,11,2,14,5,None,None,None,Normal,None,0.00,None,Monster Manual,,Wizards of the Coast
"Misc. Creature, Dire Wolf",Large,Beast,U,14,37,50,17,15,15,3,12,7,None,"Perception, Stealth",None,Normal,None,1.00,"Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
"Misc. Creature, Draft Horse",Large,Beast,U,10,19,40,18,10,12,2,11,7,None,None,None,Normal,None,0.25,None,Monster Manual,,Wizards of the Coast
"Misc. Creature, Eagle",Small,Beast,U,12,3,"10, fly 60",6,15,10,2,14,7,None,Perception,None,Normal,None,0.00,Keen Sight,Monster Manual,,Wizards of the Coast
"Misc. Creature, Elephant",Huge,Beast,U,12,76,40,22,9,17,3,11,6,None,None,None,Normal,None,4.00,Trampling Charge,Monster Manual,,Wizards of the Coast
"Misc. Creature, Elk",Large,Beast,U,10,13,50,16,10,12,2,10,6,None,None,None,Normal,None,0.25,Charge,Monster Manual,,Wizards of the Coast
"Misc. Creature, Flying Snake",Tiny,Beast,U,14,5,"30, fly 60, swim 30",4,18,11,2,12,5,None,None,None,Blindsight 10,None,0.13,Flyby,Monster Manual,,Wizards of the Coast
"Misc. Creature, Frog",Tiny,Beast,U,11,1,"20, swim 20",1,13,8,1,8,3,None,"Perception, Stealth",None,Darkvision 30,None,0.00,"Amphibious, Standing Leap",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Ape",Huge,Beast,U,12,157,"40, climb 40",23,14,18,7,12,7,None,"Athletics, Perception",None,Normal,None,7.00,None,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Badger",Medium,Beast,U,10,13,"30, burrow 10",13,10,15,2,12,5,None,None,None,Darkvision 30,None,0.25,Keen Smell,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Bat",Large,Beast,U,13,22,"10, fly 60",15,16,11,2,12,6,None,None,None,Blindsight 60,None,0.25,"Echolocation, Keen Hearing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Boar",Large,Beast,U,12,42,40,17,10,16,2,7,5,None,None,None,Normal,None,2.00,"Charge, Relentless",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Centipede",small,Beast,U,13,4,30,5,14,12,1,7,3,None,None,None,Blindsight 30,None,0.25,None,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Constrictor Snake",Huge,Beast,U,12,60,"30, swim 30",19,14,12,1,10,3,None,Perception,None,Blindsight 10,None,2.00,None,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Crab",Medium,Beast,U,15,13,"30, swim 30",13,15,11,1,9,3,None,Stealth,None,Blindsight 30,None,0.13,Amphibious,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Crocodile",Huge,Beast,U,14,85,"30, swim 50",21,9,17,2,10,7,None,Stealth,None,Normal,None,5.00,Hold Breath,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Eagle",Large,Beast,U,13,26,"10, fly 80",16,17,13,8,14,10,None,Perception,None,Normal,"Own, Common, Auran",1.00,Keen Sight,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Elk",Huge,Beast,U,14,42,60,19,16,14,7,14,10,None,Perception,None,Normal,"Own, Common, Elvish, Sylvan",2.00,Charge,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Fire Beetle",small,Beast,U,13,4,30,8,10,12,1,7,3,None,None,None,Blindsight 30,None,0.00,Illumination,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Frog",Medium,Beast,U,11,18,"30, swim 30",12,13,11,2,10,3,None,"Perception, Stealth",None,Darkvision 30,None,0.25,"Amphibious, Standing Leap",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Goat",Large,Beast,U,11,19,40,17,11,12,3,12,6,None,None,None,Normal,None,0.50,"Charge, Sure-Footed",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Hyena",Large,Beast,U,12,45,50,16,14,14,2,12,7,None,Perception,None,Normal,None,1.00,Rampage,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Lizard",Large,Beast,U,12,19,"30, climb 30",15,12,13,2,10,5,None,None,None,Darkvision 30,None,0.25,None,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Octopus",Large,Beast,U,11,52,"10, swim 60",17,13,13,4,10,4,None,"Perception, Stealth",None,Darkvision 60,None,1.00,"Hold Breath, Underwater Camouflage, Water Breathing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Owl",Large,Beast,U,12,19,"5, fly 60",13,15,12,8,13,10,None,"Perception, Stealth",None,Darkvision 120,"Own, Common, Elvish, Sylvan",0.25,"FLyby, Keen Hearing, Keen Sight",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Poisonous Snake",Medium,Beast,U,14,11,"30, swim 30",10,18,13,2,10,3,None,Perception,None,Blindsight 10,None,0.25,None,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Rat",Small,Beast,U,12,7,30,7,15,11,2,10,4,None,None,None,Darkvision 60,None,0.13,"Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Scorpion",Large,Beast,U,15,52,40,15,13,15,1,9,3,None,None,None,Blindsight 60,None,3.00,None,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Sea Horse",Large,Beast,U,13,16,swim 40,12,15,11,2,12,5,None,None,None,Normal,None,0.50,"Charge, Water Breathing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Shark",Huge,Beast,U,13,126,swim 50,23,11,21,1,10,5,None,Perception,None,Blindsight 60,None,5.00,"Blood Frenzy, Water Breathing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Spider",Large,Beast,U,14,26,"30, climb 30",14,16,12,2,11,4,None,Stealth,None,"Blindsight 10, darkvision 60",None,1.00,"Spider Climb, Web Sense, Web Walker",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Toad",Large,Beast,U,11,39,"20, swim 40",15,13,13,2,10,3,None,None,None,Darkvision 30,None,1.00,"Amphibious, Standing Leap",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Vulture",Large,Beast,NE,10,22,"10, fly 60",15,10,15,6,12,7,None,Perception,None,Normal,Common,1.00,"Keen Sight, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Wasp",Medium,Beast,U,12,13,"10, fly 50",10,14,10,1,10,3,None,None,None,Normal,None,0.50,None,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Weasel",Medium,Beast,U,13,9,40,11,16,10,4,12,5,None,"Perception, Stealth",None,Darkvision 60,None,0.13,"Keen Hearing, Keen Smell",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Wolf Spider",Medium,Beast,U,13,11,"40, climb 40",12,16,13,3,12,4,None,"Perception, Stealth",None,"Blindsight 10, darkvision 60",None,0.25,"Spider Climb, Web Sense, Web Walker",Monster Manual,,Wizards of the Coast
"Misc. Creature, Goat",Medium,Beast,U,10,4,40,12,10,11,2,10,5,None,None,None,Normal,None,0.00,"Charge, Sure-Footed",Monster Manual,,Wizards of the Coast
"Misc. Creature, Hawk",Tiny,Beast,U,13,1,"10, fly 60",5,16,8,2,14,6,None,Perception,None,Normal,None,0.00,Keen Sight,Monster Manual,,Wizards of the Coast
"Misc. Creature, Hunter Shark",Large,Beast,U,12,45,swim 40,18,13,15,1,10,4,None,Perception,None,Blindsight 30,None,2.00,"Blood Frenzy, Water Breathing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Hyena",Medium,Beast,U,11,5,50,11,13,12,2,12,5,None,Perception,None,Normal,None,0.00,Pack Tactics,Monster Manual,,Wizards of the Coast
"Misc. Creature, Jackal",Small,Beast,U,12,3,40,8,15,11,3,12,6,None,Perception,None,Normal,None,0.00,"Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
"Misc. Creature, Killer Whale",Huge,Beast,U,12,90,swim 60,19,10,13,3,12,7,None,Perception,None,Blindsight 120,None,3.00,"Echolocation, Hold Breath, Keen Hearing",Monster Manual,,Wizards of the Coast
